GameID,Season,Week,Team,Location,Winner,Win,Dorsal,PlayerID,Name,Min,Seconds,Game_Poss,PTS,VAL,T2_M,T2_A,T3_M,T3_A,FT_M,FT_A,Reb_O,Reb_D,Reb_T,AST,STL,TO,BLK,PF,PF_R,+/-,+/-_40,GmSc,TS%,eFG%,USG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,PPM,PP2P,PP3P,PPFG,PPPOS,Sh%_2P,Sh%_3P,Sh%_FG
104459,2025,Jornada 1,UNI,HOME,UNI,1,0,30000053,T. Pérez,12:24,744,76.0,6,5,2,3,0,2,2,2,1,2,3,0,0,0,0,2,1,3,9.7,3.8,51.0,40.0,109.4,40.0,40.0,53.8,97.8,76.8,-0.0,0.0,0.0,0.0,0.48,1.33,0.0,0.8,1.02,112.5,179.2,132.2
104459,2025,Jornada 1,UNI,HOME,UNI,1,2,20212243,O. Balcerowski,20:29,1229,76.0,17,18,4,6,1,1,6,7,0,4,4,0,0,1,0,4,6,3,5.9,12.3,84.3,78.6,124.8,14.3,100.0,0.0,118.4,62.0,-0.0,0.0,0.0,9.0,0.83,1.33,3.0,1.57,1.53,136.2,54.2,112.0
104459,2025,Jornada 1,UNI,HOME,UNI,1,14,20202039,N. Djedovic,20:11,1211,76.0,11,5,4,6,1,2,0,2,0,1,1,0,1,2,0,2,1,16,31.7,5.1,61.9,68.8,124.4,25.0,25.0,0.0,30.0,15.7,-0.0,13.0,0.0,18.4,0.55,1.33,1.5,1.38,1.01,138.3,110.1,130.0
104459,2025,Jornada 1,UNI,HOME,UNI,1,27,30003966,C. Duarte,22:40,1360,76.0,9,8,3,5,1,3,0,0,0,3,3,6,1,4,0,3,1,15,26.5,5.9,56.2,56.2,122.2,37.5,0.0,0.0,80.2,42.0,-1607.1,11.6,0.0,33.3,0.4,1.2,1.0,1.12,0.75,102.6,147.1,115.7
104459,2025,Jornada 1,UNI,HOME,UNI,1,55,30001977,K. Perry,16:01,961,76.0,7,12,1,2,1,2,2,2,0,0,0,5,2,0,0,3,3,6,15.0,9.3,71.7,62.5,70.3,50.0,50.0,0.0,0.0,0.0,888.6,32.9,0.0,0.0,0.44,1.0,1.5,1.25,1.43,58.1,138.7,81.9
104459,2025,Jornada 1,UNI,HOME,UNI,1,4,30001169,T. Kalinoski,16:27,987,76.0,6,7,1,3,1,1,1,2,2,1,3,2,0,1,0,2,2,17,41.3,4.9,61.5,62.5,82.5,25.0,50.0,81.1,36.8,57.9,316.5,0.0,0.0,17.0,0.36,0.67,3.0,1.25,1.02,84.8,67.5,79.7
104459,2025,Jornada 1,UNI,HOME,UNI,1,7,20200191,J. Barreiro,13:36,816,76.0,4,6,1,1,0,1,2,3,0,1,1,0,1,0,0,1,3,-6,-17.6,3.5,60.2,50.0,56.3,50.0,150.0,0.0,44.6,23.3,0.0,19.3,0.0,0.0,0.29,2.0,0.0,1.0,1.2,34.2,81.7,48.2
104459,2025,Jornada 1,UNI,HOME,UNI,1,9,20209226,A. Díaz,17:38,1058,76.0,6,10,1,1,1,1,1,2,1,0,1,2,0,1,0,0,3,7,15.9,6.1,104.2,125.0,50.8,50.0,100.0,37.8,0.0,18.0,243.5,0.0,0.0,25.8,0.34,2.0,3.0,2.5,1.55,26.4,63.0,37.2
104459,2025,Jornada 1,UNI,HOME,UNI,1,13,30003967,X. Castañeda,13:27,807,76.0,2,-4,1,4,0,2,0,0,0,1,1,2,1,2,0,2,0,-1,-3.0,-1.9,16.7,16.7,137.2,33.3,0.0,0.0,45.1,23.6,173.6,19.6,0.0,25.0,0.15,0.5,0.0,0.33,0.25,138.3,165.2,146.3
104459,2025,Jornada 1,UNI,HOME,UNI,1,19,20210828,E. Sulejmanovic,12:47,767,76.0,9,11,4,5,0,0,1,2,3,3,6,1,0,2,0,3,2,11,34.4,7.2,76.5,80.0,142.2,0.0,40.0,156.5,142.2,149.0,-51.2,0.0,0.0,25.4,0.7,1.6,0.0,1.6,1.14,181.9,0.0,128.2
