GameID,Season,Week,Team,TeamID,Location,Opponent,OpponentID,Win,PTS,PTS_Opp,Diff,VAL,T2M,T2A,T2%,T3M,T3A,T3%,FTM,FTA,FT%,FGM,FGA,FG%,ORB,DRB,TRB,AST,STL,TOV,BLK,PF,PF_R,Game_Poss,Team_Poss,ORTG,DRTG,NET_RTG,PPP,PPS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,%FGM_Ast,TOV%,AST/TO,AST_Ratio
104629,2025,Jornada 19,BAR,4386,HOME,GIR,4399,1,97,92,5,111,18,27,66.7,16,26,61.5,13,20,65.0,34,53,64.2,6,18,24,21,6,17,3,20,23,74.7,72.8,129.9,123.2,6.7,1.33,1.83,78.5,79.2,49.1,37.7,31.6,69.2,53.3,61.8,21.6,1.24,28.8
104629,2025,Jornada 19,GIR,4399,AWAY,BAR,4386,0,92,97,-5,95,29,44,65.9,7,21,33.3,13,15,86.7,36,65,55.4,8,13,21,25,6,13,0,23,20,74.7,76.6,123.2,129.9,-6.7,1.2,1.42,64.2,60.8,32.3,23.1,30.8,68.4,46.7,69.4,15.4,1.92,32.6
104630,2025,Jornada 20,CAZ,4392,HOME,JOV,4394,0,67,79,-12,70,15,37,40.5,6,20,30.0,19,28,67.9,21,57,36.8,8,32,40,16,3,14,5,22,24,76.9,75.3,87.1,102.8,-15.6,0.89,1.18,48.3,42.1,35.1,49.1,25.8,66.7,50.6,76.2,16.8,1.14,21.2
104630,2025,Jornada 20,JOV,4394,AWAY,CAZ,4392,1,79,67,12,75,20,51,39.2,6,26,23.1,21,26,80.8,26,77,33.8,16,23,39,17,5,6,4,24,22,76.9,78.4,102.8,87.1,15.6,1.01,1.03,44.7,37.7,33.8,33.8,33.3,74.2,49.4,65.4,6.4,2.83,21.7
104631,2025,Jornada 20,COV,4401,HOME,GCA,4390,0,83,90,-7,83,12,30,40.0,11,24,45.8,26,31,83.9,23,54,42.6,4,18,22,12,15,14,2,22,27,79.1,77.6,105.0,113.8,-8.9,1.07,1.54,61.4,52.8,44.4,57.4,16.0,69.2,43.1,52.2,17.1,0.86,15.5
104631,2025,Jornada 20,GCA,4390,AWAY,COV,4401,1,90,83,7,88,24,35,68.6,11,24,45.8,9,17,52.9,35,59,59.3,8,21,29,19,5,22,7,27,21,79.1,80.5,113.8,105.0,8.9,1.12,1.53,67.7,68.6,40.7,28.8,30.8,84.0,56.9,54.3,24.9,0.86,23.6
104632,2025,Jornada 20,TEN,4391,HOME,BRE,4395,1,90,81,9,103,18,30,60.0,13,30,43.3,15,20,75.0,31,60,51.7,11,20,31,16,6,11,2,20,23,69.8,68.8,128.9,116.0,12.9,1.31,1.5,65.4,62.5,50.0,33.3,39.3,76.9,57.4,51.6,13.8,1.45,23.3
104632,2025,Jornada 20,BRE,4395,AWAY,TEN,4391,0,81,90,-9,72,17,32,53.1,10,27,37.0,17,20,85.0,27,59,45.8,6,17,23,11,6,9,1,23,19,69.8,70.8,116.0,128.9,-12.9,1.14,1.37,59.7,54.2,45.8,33.9,23.1,60.7,42.6,40.7,11.7,1.22,15.5
104633,2025,Jornada 20,UCM,4393,HOME,BUR,4402,1,101,82,19,103,22,46,47.8,12,24,50.0,21,27,77.8,34,70,48.6,7,24,31,19,9,17,2,26,26,90.5,91.9,111.6,90.6,21.0,1.1,1.44,61.7,57.1,34.3,38.6,25.0,61.5,46.3,55.9,17.2,1.12,20.7
104633,2025,Jornada 20,BUR,4402,AWAY,UCM,4393,0,82,101,-19,68,24,54,44.4,4,19,21.1,22,30,73.3,28,73,38.4,15,21,36,13,12,18,0,27,25,90.5,89.2,90.6,111.6,-21.0,0.92,1.12,47.6,41.1,26.0,41.1,38.5,75.0,53.7,46.4,17.3,0.72,14.6
104634,2025,Jornada 20,LLE,4387,HOME,GIR,4399,0,81,93,-12,88,15,37,40.5,10,34,29.4,21,28,75.0,25,71,35.2,15,15,30,23,9,6,3,19,23,72.6,74.3,111.5,128.1,-16.5,1.09,1.14,48.6,42.3,47.9,39.4,38.5,57.7,46.2,92.0,6.7,3.83,30.9
104634,2025,Jornada 20,GIR,4399,AWAY,LLE,4387,1,93,81,12,106,21,33,63.6,13,27,48.1,12,18,66.7,34,60,56.7,11,24,35,24,3,14,3,23,19,72.6,70.9,128.1,111.5,16.5,1.31,1.55,68.5,67.5,45.0,30.0,42.3,61.5,53.8,70.6,17.1,1.71,33.8
104635,2025,Jornada 20,MBA,4385,HOME,VBC,4397,0,75,107,-32,64,18,37,48.6,10,30,33.3,9,11,81.8,28,67,41.8,7,20,27,15,4,13,3,21,18,79.5,77.8,94.3,134.5,-40.2,0.96,1.12,52.2,49.3,44.8,16.4,19.4,64.5,40.3,53.6,15.3,1.15,19.3
104635,2025,Jornada 20,VBC,4397,AWAY,MBA,4385,1,107,75,32,133,23,36,63.9,15,40,37.5,16,21,76.2,38,76,50.0,11,29,40,23,10,7,3,18,21,79.5,81.2,134.5,94.3,40.2,1.32,1.41,62.8,59.9,52.6,27.6,35.5,80.6,59.7,60.5,7.6,3.29,28.3
104636,2025,Jornada 20,BAR,4386,HOME,MAN,4396,1,97,60,37,106,27,49,55.1,9,28,32.1,16,18,88.9,36,77,46.8,16,35,51,14,9,16,1,24,20,82.0,84.9,118.3,73.2,45.1,1.14,1.26,57.1,52.6,36.4,23.4,43.2,77.8,62.2,38.9,15.9,0.88,16.5
104636,2025,Jornada 20,MAN,4396,AWAY,BAR,4386,0,60,97,-37,51,13,39,33.3,6,25,24.0,16,23,69.6,19,64,29.7,10,21,31,12,9,15,3,20,24,82.0,79.1,73.2,118.3,-45.1,0.76,0.94,40.5,34.4,39.1,35.9,22.2,56.8,37.8,63.2,16.8,0.8,15.2
104637,2025,Jornada 20,SBB,4389,HOME,BKN,4398,0,69,76,-7,51,19,47,40.4,10,29,34.5,1,3,33.3,29,76,38.2,15,25,40,13,5,19,1,20,18,78.4,81.3,88.0,96.9,-8.9,0.85,0.91,44.6,44.7,38.2,3.9,35.7,71.4,51.9,44.8,19.7,0.68,16.0
104637,2025,Jornada 20,BKN,4398,AWAY,SBB,4389,1,76,69,7,97,22,40,55.0,6,23,26.1,14,17,82.4,28,63,44.4,10,27,37,16,13,15,7,18,20,78.4,75.5,96.9,88.0,8.9,1.01,1.21,53.9,49.2,36.5,27.0,28.6,64.3,48.1,57.1,17.5,1.07,21.2
104638,2025,Jornada 20,UNI,4384,HOME,RMB,4388,0,92,96,-4,86,15,30,50.0,16,29,55.2,14,26,53.8,31,59,52.5,6,16,22,20,6,13,1,22,23,77.2,77.4,119.1,124.3,-5.2,1.19,1.56,65.3,66.1,49.2,44.1,19.4,72.7,41.5,64.5,15.6,1.54,25.8
104638,2025,Jornada 20,RMB,4388,AWAY,UNI,4384,1,96,92,4,109,28,40,70.0,7,19,36.8,19,25,76.0,35,59,59.3,6,25,31,18,6,13,4,24,22,77.2,77.0,124.3,119.1,5.2,1.25,1.63,68.6,65.3,32.2,42.4,27.3,80.6,58.5,51.4,15.7,1.38,23.4
